grade,lesson_term,subject,unit_order,unit_name,lesson_order,lesson_name
g9,t1,s3,u4,,l2,"النسب المثلثية الأساسية لبعض الزوايا"
g9,t1,s3,u4,,l1,"النسب المثلثية الأساسية للزاوية الحادة"
g9,t1,s3,u3,,l2,التشتت
g9,t1,s3,u3,,l1,"جمع البيانات"
g9,t1,s3,u2,,l3,"التغير الطردي والتغير العكسي"
g9,t1,s3,u2,,l2,التناسب
g9,t1,s3,u2,,l1,النسبة
g9,t1,s3,u1,,l4,"كثيرات الحدود"
g9,t1,s3,u1,,l3,"الدالة (التطبيق)"
g9,t1,s3,u1,,l2,العلاقات
g9,t1,s3,u1,,l1,"حاصل الضرب الديكارتى"
g9,t1,s2,u4,,l4,"الدرس الرابع: مصر من الحماية البريطانية حتى ثورة يوليو 1952م"
g9,t1,s2,u4,,l3,"الدرس الثالث: الكفاح الوطني ضد الاحتلال البريطاني"
g9,t1,s2,u4,,l2,"الدرس الثاني: الحركة الوطنية والثورة العرابية"
g9,t1,s2,u4,,l1,"الدرس الأول: خلفاء محمد علي وازدياد النفوذ الأجنبي"
g9,t1,s2,u3,,l4,"الدرس الرابع: محمد علي وبناء مصر الحديثة"
g9,t1,s2,u3,,l3,"الدرس الثالث: ثورة الشعب المصري وتولية (محمد علي )"
g9,t1,s2,u3,,l2,"الدرس الثاني: الحملة الفرنسية على مصر ( 1798-1801م)"
g9,t1,s2,u3,,l1,"الدرس الأول: مصر بين المماليك والعثمانيين"
g9,t1,s2,u2,,l3,"الدرس الثالث: خصائص السكان"
g9,t1,s2,u2,,l2,"الدرس الثاني: توزيع السكان في العالم"
g9,t1,s2,u2,,l1,"الدرس الأول: السلالات البشرية في العالم"
g9,t1,s2,u1,,l3,"الدرس الثالث: المناخ والنبات الطبيعي في العالم"
g9,t1,s2,u1,,l2,"الدرس الثاني: تضاريس العالم"
g9,t1,s2,u1,,l1,"الدرس الأول: قارات العالم (الموقع والمساحة)"
g9,t1,s1,u3,,l3,الكتاب
g9,t1,s1,u3,,l2,"زراعة الفضاء"
g9,t1,s1,u3,,l1,"فضل العلم"
g9,t1,s1,u2,,l4,"طريق النور"
g9,t1,s1,u2,,l3,"آيات العلم"
g9,t1,s1,u2,,l2,"سميرة موسى"
g9,t1,s1,u2,,l1,"رحمة ومحبة"
g9,t1,s1,u1,,l3,"قصة أثر"
g9,t1,s1,u1,,l2,"كن جملًا"
g9,t1,s1,u1,,l1,"عباد الرحمن&gt;"
g8,t2,s8,u3,,l2,"Lesson 2: Reproduction in Humans"
g8,t2,s8,u3,,l1,"Lesson 1 :Reproduction in Plants"
g8,t2,s8,u2,,l3,"Lesson 3 : Reflection and Refraction of Light"
g8,t2,s8,u2,,l2,"Lesson 2 : Waves Nature of Light"
g8,t2,s8,u2,,l1,"Lesson 1 :Properties of Sound Waves"
g8,t2,s8,u1,,l2,"Lesson 2:
            Wave Motion"
g8,t2,s8,u1,,l1,"Lesson 1:
            Oscillatory  Motion"
g8,t2,s7,u5,,l5,"5-	Classifying of triangles according to their angles"
g8,t2,s7,u5,,l4,"4-	Euclidean theorem"
g8,t2,s7,u5,,l3,"3-	Projection"
g8,t2,s7,u5,,l2,"2-	Converse of Pythagoras theorem"
g8,t2,s7,u5,,l1,"1-	Similarity"
g8,t2,s7,u4,,l3,"3-	Areas of some geometric figures"
g8,t2,s7,u4,,l2,"2-	Equality of the areas of two triangles"
g8,t2,s7,u4,,l1,"1-	Equality of the areas of two parallelograms"
g8,t2,s7,u3,,l1,"1-	Probability"
g8,t2,s7,u2,,l4,"4-	Operations integer power in R"
g8,t2,s7,u2,,l3,"3-	Rules for negative integer power in R"
g8,t2,s7,u2,,l2,"2-	Rules of non-negative integer power in R"
g8,t2,s7,u2,,l1,"1-	Non-negative and negative integer powers in R"
g8,t2,s7,u1,,l7,"7-	Solving Quadratic Equation in one Variable"
g8,t2,s7,u1,,l6,"6-	Factoring by completing the square"
g8,t2,s7,u1,,l5,"5-	Factorizing by Grouping"
g8,t2,s7,u1,,l4,"4-	Factorizing the sum &amp; difference of two Cubes"
g8,t2,s7,u1,,l3,"3-	Factoring the difference of two Squares"
g8,t2,s7,u1,,l2,"2-	Factoring the Perfect-Square Trinomial"
g8,t2,s7,u1,,l1,"1-	Factorizing Trinomials"
g8,t2,s6,u8,,l2,"Lesson 2"
g8,t2,s6,u8,,l1,"Lesson 1"
g8,t2,s6,u7,,l7,"Lesson 7"
g8,t2,s6,u7,,l6,"Lesson 6"
g8,t2,s6,u7,,l5,"Lesson 5"
g8,t2,s6,u7,,l4,"Lesson 4"
g8,t2,s6,u7,,l3,"Lesson 3"
g8,t2,s6,u7,,l2,"Lesson 2"
g8,t2,s6,u7,,l1,"Lesson 1"
g8,t2,s6,u6,,l7,"Lesson 7"
g8,t2,s6,u6,,l6,"Lesson 6"
g8,t2,s6,u6,,l5,"Lesson 5"
g8,t2,s6,u6,,l4,"Lesson 4"
g8,t2,s6,u6,,l3,"Lesson 3"
g8,t2,s6,u6,,l2,"Lesson 2"
g8,t2,s6,u6,,l1,"Lesson 1"
g8,t2,s6,u5,,l7,"Lesson 7"
g8,t2,s6,u5,,l6,"Lesson 6"
g8,t2,s6,u5,,l5,"Lesson 5"
g8,t2,s6,u5,,l4,"Lesson 4"
g8,t2,s6,u5,,l3,"Lesson 3"
g8,t2,s6,u5,,l2,"Lesson 2"
g8,t2,s6,u5,,l1,"Lesson 1"
g8,t2,s6,u4,,l2,"Lesson 2"
g8,t2,s6,u4,,l1,"Lesson 1"
g8,t2,s6,u3,,l7,"Lesson 7"
g8,t2,s6,u3,,l6,"Lesson 6"
g8,t2,s6,u3,,l5,"Lesson 5"
g8,t2,s6,u3,,l4,"Lesson 4"
g8,t2,s6,u3,,l3,"Lesson 3"
g8,t2,s6,u3,,l2,"Lesson 2"
g8,t2,s6,u3,,l1,"Lesson 1"
g8,t2,s6,u2,,l7,"Lesson 7"
g8,t2,s6,u2,,l6,"Lesson 6"
g8,t2,s6,u2,,l5,"Lesson 5"
g8,t2,s6,u2,,l4,"Lesson 4"
g8,t2,s6,u2,,l3,"Lesson 3"
g8,t2,s6,u2,,l2,"Lesson 2"
g8,t2,s6,u2,,l1,"Lesson 1"
g8,t2,s6,u1,,l7,"Lesson 7"
g8,t2,s6,u1,,l6,"Lesson 6"
g8,t2,s6,u1,,l5,"Lesson 5"
g8,t2,s6,u1,,l4,"Lesson 4"
g8,t2,s6,u1,,l3,"Lesson 3"
g8,t2,s6,u1,,l2,"Lesson 2"
g8,t2,s6,u1,,l1,"Lesson 1"
g8,t2,s4,u3,,l2,"الدرس الثانى:
                التكاثر فى الإنسان"
g8,t2,s4,u3,,l1,"الدرس الأول :  
                التكاثر فى النبات
                تركيب الزهرة النموذجية"
g8,t2,s4,u2,,l3,"الدرس الثالث: 
                انعكاس وانكسار الضوء"
g8,t2,s4,u2,,l2,"الدرس الثانى
                : الطبيعة الموجية للضوء"
g8,t2,s4,u2,,l1,"الدرس الأول: 
                خصائص الموجات الصوتية"
g8,t2,s4,u1,,l2,"الدرس الثانى: 
                الحركة الموجية"
g8,t2,s4,u1,,l1,"الدرس الأول:
                الحركة الاهتزازية"
g8,t2,s3,u5,,l5,"التعرف على نوع المثلث بالنسبة لزواياه"
g8,t2,s3,u5,,l4,"نظرية اقليدس"
g8,t2,s3,u5,,l3,المساقط
g8,t2,s3,u5,,l2,"عكس نظرية فيثاغورث"
g8,t2,s3,u5,,l1,التشابه
g8,t2,s3,u4,,l3,"مساحات بعض الاشكال الهندسية"
g8,t2,s3,u4,,l2,"تساوى مساحتي مثلثين"
g8,t2,s3,u4,,l1,"تساوى مساحتي متوازي الأضلاع"
g8,t2,s3,u3,,l1,الاحتمال
g8,t2,s3,u2,,l4,"العمليات الحسابية باستخدام القوى الصحيحة"
g8,t2,s3,u2,,l3,"قوانين القوى الصحيحة السالبة  في ح"
g8,t2,s3,u2,,l2,"قوانين القوى الصحيحة غير السالبة في ح"
g8,t2,s3,u2,,l1,"القوى الصحيحة السالبة وغير السالبة في ح"
g8,t2,s3,u1,,l7,"حل المعادلة من الدرجة الثانية في متغير واحد جبرياً"
g8,t2,s3,u1,,l6,"التحليل بإكمال المربع"
g8,t2,s3,u1,,l5,"التحليل بالتقسيم"
g8,t2,s3,u1,,l4,"تحليل مجموع مكعبين والفرق بينهم"
g8,t2,s3,u1,,l3,"تحليل الفرق بين مربعين"
g8,t2,s3,u1,,l2,"المقدار الثلاثي على صورة المربع الكامل"
g8,t2,s3,u1,,l1,"تحليل المقدار الثلاثي"
g8,t2,s2,u5,,l2,"الدرس الثاني: المشاركة التطوعية"
g8,t2,s2,u5,,l1,"الدرس الأول: دعائم المجتمع الإسلامي والمواطنة الصالحة"
g8,t2,s2,u4,,l3,"الدرس الثالث: روائع الحضارة الإسلامية في العلوم والآداب"
g8,t2,s2,u4,,l2,"الدرس الثاني: روائع الحضارة الإسلامية في النظام الاقتصادي والاجتماعي"
g8,t2,s2,u4,,l1,"الدرس الأول: روائع الحضارة الإسلامية في الحكم والإدارة"
g8,t2,s2,u3,,l5,"الدرس الخامس: دولة المماليك"
g8,t2,s2,u3,,l4,"الدرس الرابع: الدولة الأيوبية"
g8,t2,s2,u3,,l3,"الدرس الثالث: الدولة الفاطمية"
g8,t2,s2,u3,,l2,"الدرس الثاني: الدولة العباسية"
g8,t2,s2,u3,,l1,"الدرس الأول: الدولة الأموية"
g8,t2,s2,u2,,l4,"الدرس الرابع: التكامل الاقتصادي العربي"
g8,t2,s2,u2,,l3,"الدرس الثالث: السياحة في وطننا العربي"
